quarter,level_1,level_2,level_3,value
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,898.5
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,318.7
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,195.3
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,850.4
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,673.6
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,715.5
1982-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1900.3
1982-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,646.7
1982-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,155.8
1982-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,115.4
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1130.9
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,889.4
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,330.2
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,191.7
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,831.7
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,751.2
1982-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,680.8
1982-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1877.6
1982-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,739.1
1982-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,161.1
1982-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,106.5
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1115
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,902.3
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,327.3
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,196.9
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,877.7
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,773
1982-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,691.1
1982-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1938.3
1982-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,813.3
1982-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,175.3
1982-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,116.2
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1180.7
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,934.2
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,339
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,199.8
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,933
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,800.9
1982-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,739.2
1982-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1856.5
1982-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,880.2
1982-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,180.6
1982-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,118.4
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1252.3
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,936.1
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,351.6
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,221.9
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1014.9
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,842.5
1982-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,963
1983-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1844.8
1983-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,879.3
1983-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,179.7
1983-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,110.5
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1149.3
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,975.7
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,347.7
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,195.8
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,936.3
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,818.7
1983-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,815.7
1983-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2052.4
1983-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1032.2
1983-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,197.6
1983-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,112.5
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1140.4
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1056
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,343.9
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,218.6
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1000
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,844.8
1983-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,787.8
1983-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2148.9
1983-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1076.8
1983-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,205.3
1983-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,110.1
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1243.1
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1090.3
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,347.1
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,216.4
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,997.7
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,900.1
1983-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,903.3
1983-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2119.1
1983-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1166.6
1983-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,197.5
1983-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,115.4
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1335.6
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1059.3
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,360.7
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,225.7
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1015.2
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,911.7
1983-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1003
1984-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2037.8
1984-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1168.8
1984-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,200.7
1984-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,116.3
1984-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1197.7
1984-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1074.1
